Sale ID,Date,Region,State,City,Dealer ID,Model,Category,Units Sold,Unit Price,Revenue,Ex Showroom Price,CC,Fuel Type,Launch Year
S001,01-03-2025,North,Delhi,New Delhi,D101,Pulsar 150,Bike,45,110000,4950000,110000,149,Petrol,2002
S002,02-03-2025,West,Maharashtra,Pune,D102,Platina 100,Bike,60,65000,3900000,65000,102,Petrol,2006
S003,03-03-2025,South,Karnataka,Bengaluru,D103,Chetak EV,Scooter,25,135000,3375000,135000,Electric,Electric,2020
S004,04-03-2025,East,West Bengal,Kolkata,#NA,Avenger 220,Bike,30,145000,4350000,145000,220,Petrol,2010
S005,05-03-2025,North,Haryana,Gurugram,D105,CT 110,Bike,55,70000,3850000,70000,115,Petrol,2019
S006,06-03-2025,South,TN,Chennai,D106,Pulsar 150,Bike,42,110000,4620000,110000,149,Petrol,2002
S007,07-03-2025,West,Gujarat,Ahmedabad,D107,Platina 100,Bike,68,65000,4420000,65000,102,Petrol,2006
S008,08-03-2025,North,Uttar Pradesh,Noida,D108,Chetak EV,Scooter,22,135000,2970000,135000,Electric,Electric,2020
S009,09-03-2025,East,Odisha,Bhubaneswar,D109,CT 110,Bike,50,70000,3500000,70000,115,Petrol,2019
S010,10-03-2025,South,Telangana,Hyderabad,D110,Avenger 220,Bike,28,145000,4060000,145000,220,Petrol,2010
S011,11-03-2025,West,Rajasthan,Jaipur,D111,Pulsar 150,Bike,36,110000,3960000,110000,149,Petrol,2002
S012,12-03-2025,North,Punjab,Chandigarh,D112,Platina 100,Bike,65,65000,4225000,65000,102,Petrol,2006
S013,13-03-2025,South,Kerala,Kochi,D113,Chetak EV,Scooter,20,135000,2700000,135000,Electric,Electric,2020
S014,14-03-2025,East,Assam,Guwahati,D114,CT 110,Bike,48,70000,3360000,70000,115,Petrol,2019
S015,15-03-2025,West,Madhya Pradesh,Indore,D115,Avenger 220,Bike,32,145000,4640000,145000,220,Petrol,2010
S016,16-03-2025,North,Uttarakhand,Dehradun,D116,Pulsar 150,Bike,38,110000,4180000,110000,149,Petrol,2002
S017,17-03-2025,South,AP,Vizag,D117,Platina 100,Bike,58,65000,3770000,65000,102,Petrol,2006
S018,18-03-2025,West,Goa,Panaji,D118,Chetak EV,Scooter,24,135000,3240000,135000,Electric,Electric,2020
S019,19-03-2025,East,Bihar,Patna,D119,CT 110,Bike,52,70000,3640000,70000,115,Petrol,2019
S020,20-03-2025,North,Himachal Pradesh,Shimla,D120,Avenger 220,Bike,26,145000,3770000,145000,220,Petrol,2010
S021,01-01-2025,South,Karnataka,Mysuru,D121,Pulsar 150,Bike,41,110000,4510000,110000,149,Petrol,2002
S022,02-01-2025,West,Maharashtra,Nashik,D122,Platina 100,Bike,63,65000,4095000,65000,102,Petrol,2006
S023,03-01-2025,North,Delhi,Rohini,D123,Chetak EV,Scooter,19,135000,2565000,135000,Electric,Electric,2020
S024,04-01-2025,East,Jharkhand,Ranchi,D124,CT 110,Bike,46,70000,3220000,70000,115,Petrol,2019
S025,05-01-2025,South,TN,Madurai,D125,Avenger 220,Bike,34,145000,4930000,145000,220,Petrol,2010
S026,06-01-2025,W,Gujarat,Surat,D126,Pulsar 150,Bike,39,110000,4290000,110000,149,Petrol,2002
S027,07-01-2025,North,Uttar Pradesh,Kanpur,D127,Platina 100,Bike,67,65000,4355000,65000,102,Petrol,2006
S028,08-01-2025,South,Kerala,Trivandrum,D128,Chetak EV,Scooter,21,135000,2835000,135000,Electric,Electric,2020
S029,09-01-2025,East,Himachal Pradesh,Siliguri,D129,CT 110,Bike,49,70000,3430000,70000,115,Petrol,2019
S030,10-01-2025,West,Chhattisgarh,Raipur,D130,Avenger 220,Bike,29,145000,4205000,145000,220,Petrol,2010
S031,11-01-2025,North,Rajasthan,Jodhpur,D131,Pulsar 150,Bike,37,110000,4070000,110000,149,Petrol,2002
S032,12-01-2025,South,Telangana,Warangal,D132,Platina 100,Bike,59,65000,3835000,65000,102,Petrol,2006
S033,13-01-2025,West,Maharashtra,Kolhapur,D133,Chetak EV,Scooter,23,135000,3105000,135000,Electric,Electric,2020
S034,14-01-2025,East,Uttar Pradesh,Varanasi,D134,CT 110,Bike,53,70000,3710000,70000,115,Petrol,2019
S035,15-01-2025,North,Jammu and Kashmir,Jammu,D135,Avenger 220,Bike,27,145000,3915000,145000,220,Petrol,2010
S036,16-01-2025,South,Karnataka,Hubli,D136,Pulsar 150,Bike,44,110000,4840000,110000,149,Petrol,2002
S037,17-01-2025,West,Gujarat,Rajkot,D137,Platina 100,Bike,61,65000,3965000,65000,102,Petrol,2006
S038,18-01-2025,North,Delhi,Dwarka,D138,Chetak EV,Scooter,26,135000,3510000,135000,Electric,Electric,2020
S039,19-01-2025,E,Tripura,Agartala,D139,CT 110,Bike,47,70000,3290000,70000,115,Petrol,2019
S040,20-01-2025,South,TN,Salem,D140,Avenger 220,Bike,31,145000,4495000,145000,220,Petrol,2010
S041,21-01-2025,West,Maharashtra,Thane,D141,Pulsar 150,Bike,40,110000,4400000,110000,149,Petrol,2002
S042,22-01-2025,North,Uttar Pradesh,Ghaziabad,D142,Platina 100,Bike,66,65000,4290000,65000,102,Petrol,2006
S043,23-01-2025,South,Kerala,Kozhikode,D143,Chetak EV,Scooter,18,135000,2430000,135000,Electric,Electric,2020
S044,24-01-2025,East,Manipur,Imphal,D144,CT 110,Bike,51,70000,3570000,70000,115,Petrol,2019
S045,25-01-2025,West,Madhya Pradesh,Bhopal,D145,Avenger 220,Bike,33,145000,4785000,145000,220,Petrol,2010
S046,26-01-2025,North,Haryana,Rohtak,D146,Pulsar 150,Bike,39,110000,4290000,110000,149,Petrol,2002
S047,27-01-2025,South,AP,Tirupati,D147,Platina 100,Bike,57,65000,3705000,65000,102,Petrol,2006
S048,28-01-2025,West,Gujarat,Vadodara,D148,Chetak EV,Scooter,27,135000,3645000,135000,Electric,Electric,2020
S049,29-01-2025,East,Sikkim,Gangtok,D149,CT 110,Bike,46,70000,3220000,70000,115,Petrol,2019
S050,30-01-2025,North,Punjab,Amritsar,D150,Avenger 220,Bike,28,145000,4060000,145000,220,Petrol,2010
S051,31-01-2025,North,Delhi,Rohini,D151,Avenger 220,Bike,32,150000,4800000,150000,220,Petrol,2010
S052,01-02-2025,West,Maharashtra,Pune,D152,Dominar 400,Bike,18,250000,4500000,250000,373,Petrol,2016
S053,02-02-2025,South,Karnataka,Bengaluru,D153,Pulsar 150,Bike,45,115000,5175000,115000,150,Petrol,2002
S054,03-02-2025,East,West Bengal,Kolkata,D154,Avenger 220,Bike,28,148000,4144000,148000,220,Petrol,2010
S055,04-02-2025,North,Haryana,Gurugram,D155,Pulsar 180,Bike,37,120000,4440000,120000,180,Petrol,2005
S056,05-02-2025,South,TN,Chennai,D156,Dominar 400,Bike,20,255000,5100000,255000,373,Petrol,2016
S057,06-02-2025,West,Gujarat,Ahmedabad,D157,Avenger 220,Bike,30,149000,4470000,149000,220,Petrol,2010
S058,07-02-2025,North,Uttar Pradesh,Lucknow,D158,Triumph Street Twin,Bike,12,550000,6600000,550000,900,Petrol,2016
S059,08-02-2025,East,Odisha,Bhubaneswar,D159,Pulsar 150,Bike,42,117000,4914000,117000,150,Petrol,2002
S060,09-02-2025,South,Telangana,Hyderabad,D160,Dominar 400,Bike,22,252000,5544000,252000,373,Petrol,2016
S061,10-02-2025,West,Rajasthan,Jaipur,D161,Avenger 220,Bike,35,147000,5145000,147000,220,Petrol,2010
S062,11-02-2025,North,Punjab,Ludhiana,D162,Pulsar 180,Bike,40,121000,4840000,121000,180,Petrol,2005
S063,12-02-2025,South,Kerala,Kochi,D163,Triumph Street Twin,Bike,14,545000,7630000,545000,900,Petrol,2016
S064,13-02-2025,East,Assam,Guwahati,D164,Dominar 400,Bike,19,254000,4826000,254000,373,Petrol,2016
D065,14-02-2025,West,Madhya Pradesh,Indore,D165,Avenger 220,Bike,33,150000,4950000,150000,220,Petrol,2010
S066,15-02-2025,North,Himachal Pradesh,Shimla,D166,Pulsar 150,Bike,46,116000,5336000,116000,150,Petrol,2002
S067,16-02-2025,South,AP,Tirupati,D167,Dominar 400,Bike,21,253000,5313000,253000,373,Petrol,2016
S068,17-02-2025,East,Bihar,Patna,D168,Avenger 220,Bike,29,149500,4335500,149500,220,Petrol,2010
S069,18-02-2025,West,Goa,Panaji,D169,Pulsar 180,Bike,38,122000,4636000,122000,180,Petrol,2005
S070,19-02-2025,North,Delhi,Dwarka,D170,Triumph Street Twin,Bike,13,555000,7215000,555000,900,Petrol,
S071,20-02-2025,North,Delhi,Rohini,D151,Pulsar NS400Z,Bike,14,310000,4340000,310000,400,Petrol,2023
S072,21-02-2025,West,Maharashtra,Pune,D152,Pulsar 220 F,Bike,22,155000,3410000,155000,220,Petrol,2021
S073,22-02-2025,South,Karnataka,Bengaluru,D153,Pulsar N125,Bike,30,105000,3150000,105000,125,Petrol,2022
S074,23-02-2025,East,West Bengal,Kolkata,D154,Pulsar N160,Bike,25,110000,2750000,110000,160,Petrol,2022
S075,24-02-2025,North,Haryana,Gurugram,D155,Avenger 220,Bike,28,148000,4144000,148000,220,Petrol,2010
S076,25-02-2025,South,TN,Chennai,D156,Dominar 400,Bike,18,250000,4500000,250000,373,Petrol,
S077,26-02-2025,West,Gujarat,Ahmedabad,D157,Pulsar NS400Z,Bike,12,312000,3744000,312000,400,Petrol,2023
S078,27-02-2025,North,Uttar Pradesh,Lucknow,D158,Pulsar 220 F,Bike,24,157000,3768000,157000,220,Petrol,2021
S079,28-02-2025,E,Odisha,Bhubaneswar,D159,Pulsar N125,Bike,28,107000,2996000,107000,125,Petrol,2022
S080,31-12-2025,South,Telangana,Hyderabad,D160,Pulsar N160,Bike,23,111000,2553000,111000,160,Petrol,2022
S081,14-03-2025,West,Rajasthan,Jaipur,D161,Avenger 220,Bike,32,149500,4784000,149500,220,Petrol,2010
S082,28-07-2025,North,Punjab,Ludhiana,D162,Dominar 400,Bike,20,252000,5040000,252000,373,Petrol,
S083,05-01-2025,South,Kerala,Kochi,D163,Pulsar NS400Z,Bike,15,313000,4695000,313000,400,Petrol,2023
S084,19-11-2025,East,Assam,Guwahati,D164,Pulsar 220 F,Bike,21,156500,3286500,156500,220,Petrol,2021
S085,02-06-2025,W,Madhya Pradesh,Indore,D165,Pulsar N125,Bike,27,108000,2916000,108000,125,Petrol,2022
S086,23-09-2025,North,Himachal Pradesh,Shimla,D166,Pulsar N160,Bike,26,112500,2925000,112500,160,Petrol,2022
S087,30-12-2025,South,AP,Tirupati,D167,Avenger 220,Bike,29,147500,4277500,147500,220,Petrol,2010
S088,11-02-2025,East,Bihar,Patna,D168,Dominar 400,Bike,22,251000,5522000,251000,373,Petrol,
S089,07-10-2025,West,Goa,Panaji,D169,Pulsar NS400Z,Bike,13,315000,4095000,315000,400,Petrol,2023
S090,25-05-2025,North,Delhi,Dwarka,D170,Pulsar 220 F,Bike,25,158000,3950000,158000,220,Petrol,2021
S091,01-08-2025,South,Karnataka,Mysuru,D171,Pulsar N125,Bike,32,106500,3408000,106500,125,Petrol,2022
S092,16-04-2025,East,West Bengal,Durgapur,D172,Pulsar N160,Bike,24,113000,2712000,113000,160,Petrol,2022
S093,08-12-2025,West,Maharashtra,Nashik,D173,Avenger 220,Bike,31,150500,4665500,150500,220,Petrol,2010
S094,21-01-2025,North,Haryana,Panchkula,D174,Dominar 400,Bike,19,253500,4816500,253500,373,Petrol,
S095,12-09-2025,South,TN,Madurai,D175,Pulsar NS400Z,Bike,16,314000,5024000,314000,400,Petrol,2023
S096,03-07-2025,West,Maharashtra,Nagpur,D151,Pulsar NS400Z,Bike,16,312000,4992000,312000,400,Petrol,2023
S097,29-10-2025,West,Maharashtra,Wardha,D152,Pulsar 220 F,Bike,21,157000,3297000,157000,220,Petrol,2021
S098,17-06-2025,West,Maharashtra,Chandrapur,D153,Pulsar N125,Bike,28,107000,2996000,107000,125,Petrol,2022
S099,06-03-2025,West,Maharashtra,Bhandara,D154,Pulsar N160,Bike,25,112000,2800000,112000,160,Petrol,2022
S100,22-08-2025,West,Maharashtra,Amravati,D155,Avenger 220,Bike,30,149500,4485000,149500,220,Petrol,2010
S101,15-02-2025,West,Maharashtra,Chhindwara,D156,Dominar 400,Bike,18,252000,4536000,252000,373,Petrol,
S102,04-07-2025,West,Maharashtra,Nagpur,D157,Pulsar NS400Z,Bike,14,315000,4410000,315000,400,Petrol,2023
S103,28-11-2025,West,Maharashtra,Wardha,D158,Pulsar 220 F,Bike,24,158500,3804000,158500,220,Petrol,2021
S104,19-01-2025,West,Maharashtra,Chandrapur,D159,Pulsar N125,Bike,26,108500,2821000,108500,125,Petrol,2022
S105,06-06-2025,West,Maharashtra,Bhandara,D160,Pulsar N160,Bike,22,113000,2486000,113000,160,Petrol,2022
S106,23-03-2025,West,Maharashtra,Amravati,D161,Avenger 220,Bike,28,150500,4214000,150500,220,Petrol,2010
S107,12-10-2025,West,Maharashtra,Chhindwara,D162,Dominar 400,Bike,20,254000,5080000,254000,373,Petrol,2016
dE08,01-08-2025,West,Maharashtra,Nagpur,D163,Pulsar NS400Z,Bike,17,318000,5406000,318000,400,Petrol,2023
S109,17-05-2025,West,Maharashtra,Wardha,D164,Pulsar 220 F,Bike,23,159000,3657000,159000,220,Petrol,2021
S110,30-09-2025,West,Maharashtra,Chandrapur,D165,Pulsar N125,Bike,29,109000,3161000,109000,125,Petrol,2022
